ocr_id,grid_E4,grid_N4,ndg_E_m,ndg_N_m,lon,lat,following_tokens
1201,7604,6577,376040,565770,5.93714,51.87682,16 | 135 | 1239
1239,7183,7118,371830,571180,5.87408,51.9245,9 | 1235 | joone
1202,7632,6598,376320,565980,5.94113,51.87877,10 | 1234 | 148
1240,7234,7191,372340,571910,5.88123,51.93117,8 | 135 | 1238
1203,7664,6630,376640,566300,5.94566,51.88171,10 | 117 | 1241
1241,7270,7230,372700,572300,5.88632,51.93476,8 | 135 | KCU4
KCU4,7364,6620,373640,566200,5.90215,51.88016,11 | 87 | 1242
1242,7290,7258,372900,572580,5.88913,51.93732,9 | oono | tiezy
1205,7400,6622,374000,566220,5.90736,51.88042,58 | 300 | 7186 7174
300,7186,7174,371860,571740,5.87432,51.92954,8 | 17 | ELST
1206,7395,6657,373950,566570,5.90651,51.88356,10 | 81 | 301
301,7140,7190,371400,571900,5.86757,51.93087,8 | 17 | 1207
1207,7367,6659,373670,566590,5.90244,51.88368,10 | 107 | 302
302,7146,7250,371460,572500,5.86823,51.93628,8 | 67 | 1208
303,7090,7269,370900,572690,5.86002,51.93786,conc | Raj | ox
1230,7760,6642,377600,566420,5.95956,51.88299,1232 | 8 | 1209
304,7112,7336,371120,573360,5.86298,51.94393,109 | + | FERRET
FERRET,7698,6660,376980,566600,5.95049,51.88448,108 | 1227 | 1210
1210,7717,6678,377170,566780,5.95319,51.88614,50 | 305 | 7135 7330
305,7135,7330,371350,573300,5.86634,51.94344,8 | 107 | 1211
1211,7680,6676,376800,566760,5.94783,51.88588,9 | 97 | 306
1228,7230,7300,372300,573000,5.88026,51.94096,62 | 1212 | 7660 6720
1212,7660,6720,376600,567200,5.94477,51.88979,9 | 50 | 307
307,7136,7400,371360,574000,5.86624,51.94973,8 | 38 | 1213
1213,7632,6763,376320,567630,5.94056,51.89359,9 | 55 | 308
308,7009,7439,370090,574390,5.84763,51.95295,9 | 90 | ELEPHANT
1214,7686,6734,376860,567340,5.9485,51.8911,10 | 72 | 309
309,7058,7467,370580,574670,5.85465,51.95557,9 | 90 | 6NWW
1215,7681,6781,376810,567810,5.94761,51.89531,10 | aono | 310
310,7168,7510,371680,575100,5.87049,51.95968,360 | 1216 | 7607 6797
1216,7607,6797,376070,567970,5.93681,51.89659,9 | 52 | 311
311,7267,7476,372670,574760,5.88501,51.95685,51 | 6SWW | GSWE
1217,7614,6846,376140,568460,5.93765,51.90101,10 | aono | 315
315,7082,7578,370820,575780,5.85774,51.9656,106 | 1222 | 1218
1218,7579,6832,375790,568320,5.93262,51.89968,9 | 52 | 316
316,7110,7660,371100,576600,5.86151,51.97303,132 | 1219 | 7545 6870
1219,7545,6870,375450,568700,5.92755,51.90302,9 | 52 | 317
317,7078,7653,370780,576530,5.85689,51.97233,8 | 20 | 1226
1220,7551,6902,375510,569020,5.92831,51.9059,9 | 74 | 318
318,7035,7678,370350,576780,5.85054,51.97448,20 | ELK | 1221
1221,7510,6920,375100,569200,5.92229,51.90743,9 | 48 | 1225
319,6942,7698,369420,576980,5.83694,51.97606,10 | 360 | 1222
1222,7480,6980,374800,569800,5.91772,51.91276,9 | 30 | 320
320,6866,7690,368660,576900,5.82591,51.97517,10 | 345 | 1223
1223,7440,7008,374400,570080,5.91181,51.91519,9 | 30 | 321
321,6817,7678,368170,576780,5.81883,51.97398,1221 | 10 | 328
1224,7411,7026,374110,570260,5.90754,51.91674,9 | oono | 322
322,6740,7637,367400,576370,5.80778,51.97012,10 | 330 | DOE
1225,7438,6954,374380,569540,5.91171,51.91033,"9 | 25 | U,149"
"U,149",6734,7550,367340,575500,5.80723,51.96229,9 | conc | o
1226,7400,6972,374000,569720,5.90613,51.91187,9 | 20 | 1450
1450,6725,7476,367250,574760,5.8062,51.95563,8 | 65 | o
1227,7370,7065,373700,570650,5.90144,51.92015,9 | 45 | 460
460,6731,7596,367310,575960,5.80663,51.96642,10 | 335 | 1228
1228,7336,7060,373360,570600,5.89652,51.91963,9 | 115 | 461
461,6685,7574,366850,575740,5.80002,51.96434,10 | 335 | 1219
1229,7280,7020,372800,570200,5.88853,51.91591,9 | oono | 462
462,6642,7549,366420,575490,5.79386,51.96199,10 | 335 | 1230
1230,7440,7083,374400,570830,5.91155,51.92192,oono | 463 | 6596 7524
463,6596,7524,365960,575240,5.78726,51.95964,10 | 335 | 1217
1231,7415,7112,374150,571120,5.90781,51.92447,oono | 1452 | 6654 7551
1452,6654,7551,366540,575510,5.7956,51.9622,10 | conc | O
1232,7280,7070,372800,570700,5.88835,51.92041,oono | 1453 | 6626 7533
1453,6626,7533,366260,575330,5.79159,51.96052,10 | O | 12:8
1233,7322,7114,373220,571140,5.89429,51.92445,45 | 413 | 6694 7604
413,6694,7604,366940,576040,5.80122,51.96705,335 | 1234 | 7330 7140
1234,7330,7140,373300,571400,5.89536,51.9268,cono | 4.68 | 6640 7570
4.68,6640,7570,366400,575700,5.79349,51.96387,10 | 335 | sos
1235,7280,7145,372800,571450,5.88808,51.92714,18 | 414 | 6592 7546
414,6592,7546,365920,575460,5.7866,51.96161,10 | 1216 | 1235
BEAV,7230,7160,372300,571600,5.88076,51.92838,18 | 412 | 6663 7626
412,6663,7626,366630,576260,5.79662,51.96896,15 | cone | Q
1237,7251,7115,372510,571150,5.88397,51.92438,20 | 435 | 16617 7609
1238,7206,7145,372060,571450,5.87733,51.92698,9 | 20 | Ti215
