ocr_id,series,grid_E4,grid_N4,lon,lat,Ht,Axis,conc,raw_following
1201,1200,7604,6577,5.93714,51.87682,16,135,,16 | 135 | 1239
1239,1200,7183,7118,5.87408,51.9245,9,,,9 | 1235 | joone
1202,1200,7632,6598,5.94113,51.87877,10,,,10 | 1234 | 148
1240,1200,7234,7191,5.88123,51.93117,8,135,,8 | 135 | 1238
1203,1200,7664,6630,5.94566,51.88171,10,117,,10 | 117 | 1241
1241,1200,7270,7230,5.88632,51.93476,8,135,,8 | 135 | KCU4
KCU4,other,7364,6620,5.90215,51.88016,11,87,,11 | 87 | 1242
1242,1200,7290,7258,5.88913,51.93732,9,,conc,9 | oono | tiezy
1205,1200,7400,6622,5.90736,51.88042,,58,,58 | 300 | 7186 7174
300,300,7186,7174,5.87432,51.92954,8,17,,8 | 17 | ELST
1206,1200,7395,6657,5.90651,51.88356,10,81,,10 | 81 | 301
301,300,7140,7190,5.86757,51.93087,8,17,,8 | 17 | 1207
1207,1200,7367,6659,5.90244,51.88368,10,107,,10 | 107 | 302
302,300,7146,7250,5.86823,51.93628,8,67,,8 | 67 | 1208
303,300,7090,7269,5.86002,51.93786,,,conc,conc | Raj | ox
1230,1200,7760,6642,5.95956,51.88299,8,,,1232 | 8 | 1209
304,300,7112,7336,5.86298,51.94393,,109,,109 | + | FERRET
FERRET,other,7698,6660,5.95049,51.88448,,108,,108 | 1227 | 1210
1210,1200,7717,6678,5.95319,51.88614,,50,,50 | 305 | 7135 7330
305,300,7135,7330,5.86634,51.94344,8,107,,8 | 107 | 1211
1211,1200,7680,6676,5.94783,51.88588,9,97,,9 | 97 | 306
1228,1200,7230,7300,5.88026,51.94096,,62,,62 | 1212 | 7660 6720
1212,1200,7660,6720,5.94477,51.88979,9,50,,9 | 50 | 307
307,300,7136,7400,5.86624,51.94973,8,38,,8 | 38 | 1213
1213,1200,7632,6763,5.94056,51.89359,9,55,,9 | 55 | 308
308,300,7009,7439,5.84763,51.95295,9,90,,9 | 90 | ELEPHANT
1214,1200,7686,6734,5.9485,51.8911,10,72,,10 | 72 | 309
309,300,7058,7467,5.85465,51.95557,9,90,,9 | 90 | 6NWW
1215,1200,7681,6781,5.94761,51.89531,10,,conc,10 | aono | 310
310,300,7168,7510,5.87049,51.95968,,360,,360 | 1216 | 7607 6797
1216,1200,7607,6797,5.93681,51.89659,9,52,,9 | 52 | 311
311,300,7267,7476,5.88501,51.95685,,51,,51 | 6SWW | GSWE
1217,1200,7614,6846,5.93765,51.90101,10,,conc,10 | aono | 315
315,300,7082,7578,5.85774,51.9656,,106,,106 | 1222 | 1218
1218,1200,7579,6832,5.93262,51.89968,9,52,,9 | 52 | 316
