ocr_id,ref,x,y,lon,lat,following_tokens
1201,7604 6577,376040.0,565770.0,5.937135,51.876822,16 | 135 | 1239
1239,7183 7118,371830.0,571180.0,5.874082,51.924503,9 | 1235 | joone
1202,7632 6598,376320.0,565980.0,5.941127,51.878769,10 | 1234 | 148
1240,7234 7191,372340.0,571910.0,5.881231,51.931174,8 | 135 | 1238
1203,7664 6630,376640.0,566300.0,5.945662,51.881712,10 | 117 | 1241
1241,7270 7230,372700.0,572300.0,5.886324,51.934756,8 | 135 | KCU4
KCU4,7364 6620,373640.0,566200.0,5.902145,51.880165,11 | 87 | 1242
1242,7290 7258,372900.0,572580.0,5.889131,51.937316,9 | oono | tiezy
1205,7400 6622,374000.0,566220.0,5.907364,51.880423,58 | 300 | 7186 7174
300,7186 7174,371860.0,571740.0,5.874317,51.92954,8 | 17 | ELST
1206,7395 6657,373950.0,566570.0,5.906515,51.883557,10 | 81 | 301
301,7140 7190,371400.0,571900.0,5.867575,51.930875,8 | 17 | 1207
1207,7367 6659,373670.0,566590.0,5.902443,51.883675,10 | 107 | 302
302,7146 7250,371460.0,572500.0,5.86823,51.936278,8 | 67 | 1208
303,7090 7269,370900.0,572690.0,5.860022,51.93786,conc | Raj | ox
1230,7760 6642,377600.0,566420.0,5.959557,51.882994,1232 | 8 | 1209
304,7112 7336,371120.0,573360.0,5.862978,51.943928,109 | + | FERRET
FERRET,7698 6660,376980.0,566600.0,5.950494,51.88448,108 | 1227 | 1210
1210,7717 6678,377170.0,566780.0,5.953191,51.886137,50 | 305 | 7135 7330
305,7135 7330,371350.0,573300.0,5.866343,51.94344,8 | 107 | 1211
1211,7680 6676,376800.0,566760.0,5.947826,51.885879,9 | 97 | 306
1228,7230 7300,372300.0,573000.0,5.88026,51.940956,62 | 1212 | 7660 6720
1212,7660 6720,376600.0,567200.0,5.94477,51.889789,9 | 50 | 307
307,7136 7400,371360.0,574000.0,5.866235,51.94973,8 | 38 | 1213
1213,7632 6763,376320.0,567630.0,5.940556,51.893592,9 | 55 | 308
308,7009 7439,370090.0,574390.0,5.84763,51.952949,9 | 90 | ELEPHANT
1214,7686 6734,376860.0,567340.0,5.948497,51.891102,10 | 72 | 309
309,7058 7467,370580.0,574670.0,5.854652,51.955574,9 | 90 | 6NWW
1215,7681 6781,376810.0,567810.0,5.947609,51.895314,10 | aono | 310
310,7168 7510,371680.0,575100.0,5.870491,51.959683,360 | 1216 | 7607 6797
1216,7607 6797,376070.0,567970.0,5.936807,51.896592,9 | 52 | 311
311,7267 7476,372670.0,574760.0,5.885009,51.956848,51 | 6SWW | GSWE
1217,7614 6846,376140.0,568460.0,5.937654,51.901009,10 | aono | 315
315,7082 7578,370820.0,575780.0,5.857739,51.965599,106 | 1222 | 1218
